name,number,image,date,Batch,Type,Rank,Total Score,Background,Background Score,Skin,Skin Score,Body,Body Score,Eyes,Eyes Score,Weapon,Weapon Score,Necklace,Necklace Score,Eye Patch,Eye Patch Score,Hair,Hair Score,Hat,Hat Score,Mouth,Mouth Score,Pet,Pet Score,Unlock_Date,address
Pirate Life #1,1,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1.png,1660831319746,Treasure,Treasure,222.0,181.6675354345886,Deep_Violet,18.88888888888889,Concrete,17.708333333333332,Shirt_Red,14.655172413793103,Eyes_Green,13.934426229508198,Sword_Dual,38.63636363636363,None,1.7102615694164989,None,4.427083333333333,Mid_Hair_Beard_Johnny,32.69230769230769,Bandana_Dust,27.41935483870968,Cheeky,8.947368421052632,None,2.64797507788162,1660830819,0x6ffbb6C376d0cf590289671D652Ae92213614828
Pirate Life #2,2,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/2.png,1660831756085,Treasure,Treasure,662.0,128.30231255001874,Indigo,15.740740740740742,Espresso,6.343283582089552,Tattoo,17.0,Wink_Orange,14.655172413793103,None,1.6865079365079367,None,1.7102615694164989,Eye_Patch_Right,2.599388379204893,Mid_Hair_Blonde,34.0,Bandana_Green,22.36842105263158,Blunt,9.55056179775281,None,2.64797507788162,1663509219,0x6ffbb6C376d0cf590289671D652Ae92213614828
Pirate Life #3,3,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/3.png,1660831756285,Treasure,Treasure,40.0,256.9404372902955,Mint,21.25,Espresso,6.343283582089552,Shirt_Blue_Grey,16.666666666666668,Angry_Eyes_Green,11.18421052631579,Sword_Dual,38.63636363636363,Skull_Blood,30.35714285714285,Eye_Patch_Right,2.599388379204893,Mid_Hair_Ginger,23.61111111111111,None,1.847826086956522,Teeth_Gold,10.0,Parrot_Shadow,94.44444444444444,1663509219,0x6ffbb6C376d0cf590289671D652Ae92213614828
Pirate Life #4,4,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/4.png,1660831756415,Treasure,Treasure,559.0,138.51374596994324,Blue,18.88888888888889,Espresso,6.343283582089552,Neked,3.695652173913044,Bulging_Eyes_Green,12.87878787878788,None,1.6865079365079367,Teeth_Skull_Silver,23.61111111111111,Eye_Patch_Left,2.75974025974026,Short_Hair_Black,40.47619047619048,None,1.847826086956522,Pipe_Silver,9.659090909090908,Octopus,16.666666666666668,1663509219,0x6ffbb6C376d0cf590289671D652Ae92213614828
Pirate Life #5,5,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/5.png,1660831756557,Treasure,Treasure,737.0,119.56754835551172,Abe_Cyan,17.346938775510203,Almond,6.746031746031747,Shirt_Red,14.655172413793103,Bulging_Eyes_Orange,12.686567164179104,None,1.6865079365079367,Teeth_Blood,18.08510638297872,None,4.427083333333333,Long_Hair_Beard_Grey,32.69230769230769,None,1.847826086956522,Open_Mouth,6.746031746031747,None,2.64797507788162,1663509219,0x6ffbb6C376d0cf590289671D652Ae92213614828
Pirate Life #6,6,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/6.png,1660831756676,Treasure,Treasure,624.0,131.70268796420646,Red,22.36842105263158,Almond,6.746031746031747,Neked,3.695652173913044,Eyes_Orange,17.346938775510203,None,1.6865079365079367,None,1.7102615694164989,Eye_Patch_Left,2.75974025974026,Mid_Hair_Beard_Johnny,32.69230769230769,Bandana_Purple,17.0,Pipe_Silver,9.659090909090908,Parrot_Red,16.037735849056602,1663509219,0x6ffbb6C376d0cf590289671D652Ae92213614828
Pirate Life #7,7,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/7.png,1660831756813,Treasure,Treasure,174.0,193.7637698678408,Aureolin,19.318181818181817,Golden,7.264957264957266,Shirt_Green,17.346938775510203,Bulging_Eyes_Orange,12.686567164179104,Gun_Right,12.87878787878788,Skull_Blood,30.35714285714285,Eye_Patch_Dual,36.95652173913044,Long_Hair_Beard_Brown,26.562500000000004,Pirate_Hat_Pink,18.08510638297872,Pipe_Silver,9.659090909090908,None,2.64797507788162,1663509219,0x283490755E5D7A65C3F4c79320b184Ef6BaC8b8e
Pirate Life #8,8,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/8.png,1660831756995,Treasure,Treasure,614.0,132.4393401197157,Spektral,20.23809523809524,Almond,6.746031746031747,Neked,3.695652173913044,Bulging_Eyes_Orange,12.686567164179104,Gun_Left,13.492063492063494,Teeth_Blood,18.08510638297872,Eye_Patch_Left,2.75974025974026,Long_Hair_Beard_Brown,26.562500000000004,None,1.847826086956522,Pipe_Silver,9.659090909090908,Octopus,16.666666666666668,1663509219,0x283490755E5D7A65C3F4c79320b184Ef6BaC8b8e
Pirate Life #9,9,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/9.png,1660831757120,Treasure,Treasure,243.0,177.2298986870527,Mint,21.25,Espresso,6.343283582089552,Shirt_Yellow_Black,18.08510638297872,Stoned_Eyes,12.318840579710145,Sword_Dual,38.63636363636363,None,1.7102615694164989,Eye_Patch_Left,2.75974025974026,Mid_Hair_Beard_Ginger,42.5,None,1.847826086956522,Pipe_Gold,15.740740740740742,Monkey_Ginger,16.037735849056602,1663509219,0x283490755E5D7A65C3F4c79320b184Ef6BaC8b8e
Pirate Life #10,10,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/10.png,1660831757296,Treasure,Treasure,64.0,233.9808897705134,Chilean_Fire,19.318181818181817,Golden,7.264957264957266,Shirt_Red_Pink,16.666666666666668,Angry_Eyes_Green,11.18421052631579,Sword_Dual,38.63636363636363,Teeth_Skull_Gold,77.27272727272727,Eye_Patch_Right,2.599388379204893,Long_Hair_Brown,30.35714285714285,None,1.847826086956522,Open_Mouth_Gold,11.486486486486488,Monkey_Blue,17.346938775510203,1663509219,0x283490755E5D7A65C3F4c79320b184Ef6BaC8b8e
Pirate Life #11,11,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/11.png,1660832219711,Treasure,Treasure,254.0,175.2745727429934,Shadow,15.178571428571429,Golden,7.264957264957266,Neked,3.695652173913044,Eyes_Orange,17.346938775510203,None,1.6865079365079367,Skull_Blood,30.35714285714285,None,4.427083333333333,Short_Hair_Stubble_Green,85.0,None,1.847826086956522,Regular_Mouth,5.821917808219179,None,2.64797507788162,1663509219,0x283490755E5D7A65C3F4c79320b184Ef6BaC8b8e
Pirate Life #12,12,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/12.png,1660832219862,Treasure,Treasure,335.0,162.39635852163136,Mint,21.25,Goblin,25.0,Shirt_Blue_Grey,16.666666666666668,Wink_Blue,15.454545454545451,None,1.6865079365079367,None,1.7102615694164989,Eye_Patch_Right,2.599388379204893,Mid_Hair_Stubble_Grey,34.0,Pirate_Hat_Red,19.318181818181817,Regular_Mouth,5.821917808219179,Parrot_Purple,18.88888888888889,1663509219,0x283490755E5D7A65C3F4c79320b184Ef6BaC8b8e
