name,number,image,date,Batch,Type,Rank,Total Score,Background,Background Score,Skin,Skin Score,Body,Body Score,Eyes,Eyes Score,Weapon,Weapon Score,Necklace,Necklace Score,Eye Patch,Eye Patch Score,Hair,Hair Score,Hat,Hat Score,Mouth,Mouth Score,Pet,Pet Score,Unlock_Date
Pirate Life #1,1,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1.png,1660831319746,Treasure,Treasure,233.0,193.52991784371127,Deep_Violet,18.0,Concrete,18.5625,Shirt_Red,16.5,Eyes_Green,14.142857142857144,Sword_Dual,47.519999999999996,None,1.7142857142857142,None,4.432835820895522,Mid_Hair_Beard_Johnny,33.94285714285714,Bandana_Dust,27.0,Cheeky,9.068702290076336,None,2.645879732739421,1660830819
Pirate Life #2,2,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/2.png,1660831756085,Treasure,Treasure,948.0,127.40072009837036,Indigo,17.73134328358209,Espresso,6.711864406779662,Tattoo,17.217391304347828,Wink_Orange,13.655172413793103,None,1.6545961002785516,None,1.7142857142857142,Eye_Patch_Right,2.54389721627409,Mid_Hair_Blonde,32.108108108108105,Bandana_Green,21.6,Blunt,9.818181818181818,None,2.645879732739421,1663509219
Pirate Life #3,3,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/3.png,1660831756285,Treasure,Treasure,33.0,277.46921577751914,Mint,20.135593220338983,Espresso,6.711864406779662,Shirt_Blue_Grey,15.84,Angry_Eyes_Green,12.122448979591837,Sword_Dual,47.519999999999996,Skull_Blood,27.0,Eye_Patch_Right,2.54389721627409,Mid_Hair_Ginger,25.27659574468085,None,1.8977635782747604,Teeth_Gold,10.421052631578949,Parrot_Shadow,108.0,1663509219
Pirate Life #4,4,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/4.png,1660831756415,Treasure,Treasure,827.0,136.04131812187745,Blue,20.135593220338983,Espresso,6.711864406779662,Neked,3.819935691318328,Bulging_Eyes_Green,13.976470588235296,None,1.6545961002785516,Teeth_Skull_Silver,22.41509433962264,Eye_Patch_Left,2.8218527315914486,Short_Hair_Black,33.94285714285714,None,1.8977635782747604,Pipe_Silver,9.504,Octopus,19.161290322580644,1663509219
Pirate Life #5,5,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/5.png,1660831756557,Treasure,Treasure,1064.0,119.15406483745964,Abe_Cyan,17.470588235294116,Almond,6.527472527472527,Shirt_Red,16.5,Bulging_Eyes_Orange,12.774193548387096,None,1.6545961002785516,Teeth_Blood,18.5625,None,4.432835820895522,Long_Hair_Beard_Grey,29.7,None,1.8977635782747604,Open_Mouth,6.988235294117648,None,2.645879732739421,1663509219
Pirate Life #6,6,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/6.png,1660831756676,Treasure,Treasure,851.0,134.5106329092262,Red,27.0,Almond,6.527472527472527,Neked,3.819935691318328,Eyes_Orange,15.631578947368421,None,1.6545961002785516,None,1.7142857142857142,Eye_Patch_Left,2.8218527315914486,Mid_Hair_Beard_Johnny,33.94285714285714,Bandana_Purple,15.84,Pipe_Silver,9.504,Parrot_Red,16.054054054054053,1663509219
Pirate Life #7,7,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/7.png,1660831756813,Treasure,Treasure,251.0,190.16972929626593,Aureolin,18.276923076923076,Golden,7.615384615384615,Shirt_Green,16.273972602739725,Bulging_Eyes_Orange,12.774193548387096,Gun_Right,12.24742268041237,Skull_Blood,27.0,Eye_Patch_Dual,37.125,Long_Hair_Beard_Brown,28.97560975609756,Pirate_Hat_Pink,17.73134328358209,Pipe_Silver,9.504,None,2.645879732739421,1663509219
Pirate Life #8,8,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/8.png,1660831756995,Treasure,Treasure,815.0,137.02002799178794,Spektral,19.475409836065573,Almond,6.527472527472527,Neked,3.819935691318328,Bulging_Eyes_Orange,12.774193548387096,Gun_Left,13.5,Teeth_Blood,18.5625,Eye_Patch_Left,2.8218527315914486,Long_Hair_Beard_Brown,28.97560975609756,None,1.8977635782747604,Pipe_Silver,9.504,Octopus,19.161290322580644,1663509219
Pirate Life #9,9,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/9.png,1660831757120,Treasure,Treasure,373.0,173.5886990724128,Mint,20.135593220338983,Espresso,6.711864406779662,Shirt_Yellow_Black,16.5,Stoned_Eyes,13.054945054945055,Sword_Dual,47.519999999999996,None,1.7142857142857142,Eye_Patch_Left,2.8218527315914486,Mid_Hair_Beard_Ginger,33.0,None,1.8977635782747604,Pipe_Gold,13.5,Monkey_Ginger,16.732394366197184,1663509219
Pirate Life #10,10,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/10.png,1660831757296,Treasure,Treasure,67.0,247.09101727199385,Chilean_Fire,19.8,Golden,7.615384615384615,Shirt_Red_Pink,15.428571428571429,Angry_Eyes_Green,12.122448979591837,Sword_Dual,47.519999999999996,Teeth_Skull_Gold,79.2,Eye_Patch_Right,2.54389721627409,Long_Hair_Brown,32.108108108108105,None,1.8977635782747604,Open_Mouth_Gold,12.122448979591837,Monkey_Blue,16.732394366197184,1663509219
