name,number,image,date,Batch,Type,Rank,Total Score,Bonus Score,Background,Background Score,Base,Base Score,Outfit,Outfit Score,Necklace,Necklace Score,Eye,Eye Score,Beard,Beard Score,Hair,Hair Score,Hat,Hat Score,Hand_Accessories,Hand_Accessories Score,Shoulder,Shoulder Score,Mouth,Mouth Score,Unlock_Date,address
Pixel Pirates #6,6,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/6.png,1650726331992,1,Common,228.0,88.70896330750726,0,Purple,10.561643835616438,Base_Pink,5.840909090909091,Arm_Tattoo,24.87096774193548,,1.5575757575757574,,2.2412790697674416,,6.58974358974359,White_Hair,6.425,Pirate_Hat_Pink,7.485436893203883,Handgun,7.948453608247423,Corgi_Dog,13.526315789473683,Regular_Smile,1.6616379310344829,1650844800,0x13c0CE1b341Cc4f0efadA8093f6081AFF0Bfeb80
Pixel Pirates #8,8,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/8.png,1650734970298,1,Common,148.0,93.89634489214664,0,Purple,10.561643835616438,Base_Pink,5.840909090909091,Regular_Pirate_Suit_Purple_And_Orange,6.7043478260869565,,1.5575757575757574,Eye_Patch,1.992248062015504,Long_Beard_Ginger,9.51851851851852,Regular_Hair,7.709999999999999,Pirate_Hat_Purple,8.290322580645162,Hook_Hand_Gold,23.363636363636363,Corgi_Dog_Red_No_Tail,13.767857142857142,Silver_Teeth,4.589285714285714,1650844800,0xdC96Dc73c2321400AeE24761Ce43F8C6eF33A10e
Pixel Pirates #9,9,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/9.png,1650737844258,1,Common,631.0,70.42191013949976,0,Light_Blue,9.6375,Base_Green,7.0733944954128445,Regular_Pirate_Suit_Blue_And_Blue,7.138888888888888,,1.5575757575757574,,2.2412790697674416,,6.58974358974359,Regular_Hair,7.709999999999999,Pirate_Hat_Luminous,7.205607476635514,,6.533898305084746,Parrot_Green,10.144736842105264,Silver_Teeth,4.589285714285714,1653350400,0x00444f498Cb5112969a652a78235281182ff4876
Pixel Pirates #10,10,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/10.png,1650737844725,1,Common,335.0,83.12722242471384,0,Light_Luminous_,8.965116279069766,Base_Pink,5.840909090909091,Chest_Tattoo,22.02857142857143,Bottle_Ship_Necklace_Silver,3.411504424778761,,2.2412790697674416,Stubble_Black,8.290322580645162,Regular_Hair,7.709999999999999,Pirate_Hat_Luminous,7.205607476635514,Sword,7.205607476635514,Monkey,8.566666666666666,Regular_Smile,1.6616379310344829,1653350400,0x2B87BBeA6f8dbDD861399E4c8930041fe2aE5AeC
Pixel Pirates #11,11,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/11.png,1650737844781,1,Common,355.0,82.44296028456512,0,Grey,10.859154929577464,Base_Red,6.168,Regular_Pirate_Suit_Purple_And_Orange,6.7043478260869565,,1.5575757575757574,Eye_Patch,1.992248062015504,Long_Beard,7.948453608247423,Sparrow_Hair,8.965116279069766,Pirate_Hat_Luminous,7.205607476635514,Hook_Hand,6.7043478260869565,Penguin,22.676470588235293,Regular_Smile,1.6616379310344829,1653350400,0x2cb41daE86a2380E07bcCDcaba26f68e150aBD38
Pixel Pirates #12,12,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/12.png,1650737857605,1,Common,711.0,67.32552277025673,0,Light_Blue,9.6375,Base_Red,6.168,Regular_Pirate_Suit_Purple_And_Orange,6.7043478260869565,Bottle_Ship_Necklace_Silver,3.411504424778761,Eye_Patch,1.992248062015504,Long_Beard_Black,7.342857142857143,Blonde_Hair,5.840909090909091,Pirate_Hat_Purple,8.290322580645162,Sword,7.205607476635514,Parrot,9.070588235294116,Regular_Smile,1.6616379310344829,1653350400,0xD8b1d41A77f12Bb972Ead1b4c3503693F1Cd0560
Pixel Pirates #13,13,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/13.png,1650737858059,1,Common,611.0,71.01130463401262,0,Purple,10.561643835616438,Base_Blue,6.2682926829268295,Regular_Pirate_Suit_Red_And_Luminous_,6.7043478260869565,,1.5575757575757574,,2.2412790697674416,Goatee,8.862068965517242,Black_Hair,7.273584905660376,Pirate_Hat_Pink,7.485436893203883,,6.533898305084746,Octopus,11.86153846153846,Regular_Smile,1.6616379310344829,1653350400,0x3F01FA6e75f9d0477108F994400280b71915Bf56
Pixel Pirates #14,14,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/14.png,1650737884199,1,Common,669.0,68.90305316772645,0,Grey,10.859154929577464,Base_Green,7.0733944954128445,Regular_Pirate_Suit,6.478991596638656,Bottle_Ship_Necklace_Silver,3.411504424778761,,2.2412790697674416,Long_Beard_Johnny,7.273584905660376,Blonde_Hair,5.840909090909091,Pirate_Hat_Purple,8.290322580645162,Sword,7.205607476635514,Monkey,8.566666666666666,Regular_Smile,1.6616379310344829,1653350400,0xD8b1d41A77f12Bb972Ead1b4c3503693F1Cd0560
Pixel Pirates #15,15,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/15.png,1650737910702,1,Common,331.0,83.39586292598284,0,Light_Luminous_,8.965116279069766,Base_Green,7.0733944954128445,Regular_Pirate_Suit_Red_And_Luminous_,6.7043478260869565,Bottle_Ship_Necklace_Silver,3.411504424778761,,2.2412790697674416,Stubble,9.402439024390244,Black_Hair,7.273584905660376,Bandana_Hat_Green,17.522727272727273,Hook_Hand,6.7043478260869565,Monkey_Ginger,12.43548387096774,Regular_Smile,1.6616379310344829,1653350400,0x6c0dd723C097425FA56474920385caC75FE02AC7
Pixel Pirates #16,16,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/16.png,1650737924427,1,Common,217.0,89.08094714320126,0,Light_Blue,9.6375,Base_Green,7.0733944954128445,Regular_Pirate_Suit_Purple_And_Orange,6.7043478260869565,Bottle_Ship_Necklace_Silver,3.411504424778761,,2.2412790697674416,Long_Beard_Black,7.342857142857143,Black_Hair,7.273584905660376,Bandana_Hat,24.09375,Sword,7.205607476635514,Monkey_Ginger,12.43548387096774,Regular_Smile,1.6616379310344829,1653350400,0x283490755E5D7A65C3F4c79320b184Ef6BaC8b8e
Pixel Pirates #17,17,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/17.png,1650737924890,1,Common,490.0,75.34779005631623,0,Purple,10.561643835616438,Base_Red,6.168,Regular_Pirate_Suit,6.478991596638656,,1.5575757575757574,,2.2412790697674416,Long_Beard,7.948453608247423,Sparrow_Hair,8.965116279069766,Pirate_Hat_Purple,8.290322580645162,Handgun,7.948453608247423,Corgi_Dog,13.526315789473683,Regular_Smile,1.6616379310344829,1653350400,0x5D9A1eCe4CC5092428bFf7Dd07f9AbA61D43cD2E
Pixel Pirates #18,18,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/18.png,1650737925040,1,Common,675.0,68.74663422145609,0,Grey,10.859154929577464,Base_Pink,5.840909090909091,Regular_Pirate_Suit_Red_And_Luminous_,6.7043478260869565,,1.5575757575757574,,2.2412790697674416,Long_Beard,7.948453608247423,Sparrow_Hair_White,7.485436893203883,Pirate_Hat_Luminous,7.205607476635514,,6.533898305084746,Parrot_Yellow,10.708333333333334,Regular_Smile,1.6616379310344829,1653350400,0x283490755E5D7A65C3F4c79320b184Ef6BaC8b8e
