id,address,tokenId,amountBatch,seller,vault,sold,startTime,endTime,cancelled,isAuction,isFlashAuction,isAntisnipe,maxBid,maxBidder,maxOffer,maxOfferer,amount,amountRemaining,desiredAmountRemaining,complete,price,isERC721,isNSFW,version,nextMinimum,donationAddress,donationPercentage,custom1,custom2,custom3,custom4,custom5,custom6,custom7,custom8,userSupplyValid,minBid,minOffer,subgraphIndex,approvalState,contentVerified,isFNFT,nft.lastSellPrice,nft.lastSellId,nft.isNSFW,nft.address,nft.mintOrder,nft.createdTimestamp,nft.isERC721,nft.creator,nft.owner,nft.num,nft.onSale,nft.saleId,nft.price,nft.custom1,nft.custom2,nft.custom3,nft.custom4,nft.custom5,nft.custom6,nft.custom7,nft.custom8,nft.isTransferable,nft.isTracked,nft.contentVerified,nft.approvalState,nft.isFNFT,number,image,Batch,Type,Rank,Total Score,Rarity Score / FTM
172211,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,108,1,0xa5b8d4bfbf295edddde15340b2867bd210a2d885,,True,1650858905,2022-04-25,False,False,False,True,0,0x0000000000000000000000000000000000000000,0,0x0000000000000000000000000000000000000000,1,0,0,True,75.0,True,False,2,1,0x0000000000000000000000000000000000000000,0,,,,,,,,,True,1,1,0,approve,True,True,75000000000000000000,172211,False,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,107,1650740108,True,0xa5b8d4bfbf295edddde15340b2867bd210a2d885,0x9231bb34bc0a7c9bfd33c5456f8ed78e1b64d93a,1,False,-1,0,,,,,,,,,True,True,True,approve,True,108,"<img src=https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/108.png width=""100"">",1,Common,648.0,71.78031167179124,0.9570708222905498
172227,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,9,1,0x13c0ce1b341cc4f0efada8093f6081aff0bfeb80,,True,1650864609,2022-04-25,False,False,False,True,0,0x0000000000000000000000000000000000000000,0,0x0000000000000000000000000000000000000000,1,0,0,True,100.0,True,False,2,1,0x0000000000000000000000000000000000000000,0,,,,,,,,,True,1,1,1,approve,True,True,100000000000000000000,172227,False,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,8,1650737831,True,0x13c0ce1b341cc4f0efada8093f6081aff0bfeb80,0x00444f498cb5112969a652a78235281182ff4876,1,False,-1,0,,,,,,,,,True,True,True,approve,True,9,"<img src=https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/9.png width=""100"">",1,Common,720.0,69.36918703209825,0.6936918703209826
172403,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,30,1,0x5d9a1ece4cc5092428bff7dd07f9aba61d43cd2e,,True,1650909475,2022-04-25,False,False,False,True,0,0x0000000000000000000000000000000000000000,0,0x0000000000000000000000000000000000000000,1,0,0,True,50.0,True,False,2,1,0x0000000000000000000000000000000000000000,0,,,,,,,,,True,1,1,4,approve,True,True,50000000000000000000,172403,False,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,29,1650738018,True,0x5d9a1ece4cc5092428bff7dd07f9aba61d43cd2e,0x237878e54e83896570d3614be4739e97449493a5,1,False,-1,0,,,,,,,,,True,True,True,approve,True,30,"<img src=https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/30.png width=""100"">",1,Common,723.0,69.27858830854342,1.3855717661708684
171988,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,184,1,0x8b1306d6b57e738dbdf288b6e4d01d4583b34cb7,,True,1650835616,2022-04-27,False,False,False,True,0,0x0000000000000000000000000000000000000000,0,0x0000000000000000000000000000000000000000,1,0,0,True,70.0,True,False,2,1,0x0000000000000000000000000000000000000000,0,,,,,,,,,True,1,1,5,approve,True,True,70000000000000000000,171988,False,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,183,1650779794,True,0x8b1306d6b57e738dbdf288b6e4d01d4583b34cb7,0xc89ce9f096ddb405359b22a4863a08e8828e88d7,1,False,-1,0,,,,,,,,,True,True,True,approve,True,184,"<img src=https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/184.png width=""100"">",1,Common,512.0,76.17361594732589,1.088194513533227
172370,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,23,1,0x3822449fffc4ff235438610bf281f890302cda54,,True,1650898319,2022-04-27,False,False,False,True,0,0x0000000000000000000000000000000000000000,0,0x0000000000000000000000000000000000000000,1,0,0,True,95.0,True,False,2,1,0x0000000000000000000000000000000000000000,0,,,,,,,,,True,1,1,6,approve,True,True,95000000000000000000,172370,False,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,22,1650737981,True,0x3822449fffc4ff235438610bf281f890302cda54,0xc89ce9f096ddb405359b22a4863a08e8828e88d7,1,False,-1,0,,,,,,,,,True,True,True,approve,True,23,"<img src=https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/23.png width=""100"">",1,Common,609.0,72.76923551134108,0.7659919527509588
173202,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,76,1,0x9baa8611e207914c49a369cd15cee3b14ad075c4,,True,1651106252,2022-04-28,False,False,False,True,0,0x0000000000000000000000000000000000000000,0,0x0000000000000000000000000000000000000000,1,0,0,True,85.0,True,False,2,1,0x0000000000000000000000000000000000000000,0,,,,,,,,,True,1,1,7,approve,True,True,85000000000000000000,173202,False,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,75,1650738756,True,0x78de8e8e9fdcaeba199c2aefbd1a69c4bccdd9e6,0x6ffbb6c376d0cf590289671d652ae92213614828,1,False,-1,0,,,,,,,,,True,True,True,approve,True,76,"<img src=https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/76.png width=""100"">",1,Common,89.0,103.28946014777326,1.2151701193855677
171997,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,189,1,0x8b1306d6b57e738dbdf288b6e4d01d4583b34cb7,,True,1650836409,2022-04-29,False,False,False,True,0,0x0000000000000000000000000000000000000000,50000000000000000000,0xd501e8bfc18e1e42524a3a7af71814b3f422771f,1,0,0,True,50.0,True,False,2,55000000000000000000,0x0000000000000000000000000000000000000000,0,,,,,,,,,True,1,55000000000000000000,8,approve,True,True,50000000000000000000,171997,False,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,188,1650785861,True,0x8b1306d6b57e738dbdf288b6e4d01d4583b34cb7,0xd501e8bfc18e1e42524a3a7af71814b3f422771f,1,False,-1,0,,,,,,,,,True,True,True,approve,True,189,"<img src=https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/189.png width=""100"">",1,Common,737.0,68.95555562356137,1.3791111124712274
173476,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,66,1,0x9baa8611e207914c49a369cd15cee3b14ad075c4,,True,1651200215,2022-04-30,False,False,False,True,0,0x0000000000000000000000000000000000000000,0,0x0000000000000000000000000000000000000000,1,0,0,True,65.0,True,False,2,1,0x0000000000000000000000000000000000000000,0,,,,,,,,,True,1,1,9,approve,True,True,65000000000000000000,173476,False,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,65,1650738509,True,0x78de8e8e9fdcaeba199c2aefbd1a69c4bccdd9e6,0x358c8b4836006235680367d70d9d148955b24154,1,False,-1,0,,,,,,,,,True,True,True,approve,True,66,"<img src=https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/66.png width=""100"">",1,Common,112.0,99.29187023965456,1.5275672344562239
173657,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,51,1,0x78de8e8e9fdcaeba199c2aefbd1a69c4bccdd9e6,,True,1651276919,2022-05-01,False,False,False,True,0,0x0000000000000000000000000000000000000000,0,0x0000000000000000000000000000000000000000,1,0,0,True,60.0,True,False,2,1,0x0000000000000000000000000000000000000000,0,,,,,,,,,True,1,1,10,approve,True,True,60000000000000000000,173657,False,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,50,1650738245,True,0x78de8e8e9fdcaeba199c2aefbd1a69c4bccdd9e6,0x00ab97c782c661fb3d08c96dce06176938101211,1,False,-1,0,,,,,,,,,True,True,True,approve,True,51,"<img src=https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/51.png width=""100"">",1,Common,154.0,95.13176838540048,1.585529473090008
173701,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,211,1,0x169945cf64ebd10139bf7b85c86bf710947ac9fa,,True,1651292261,2022-05-02,False,False,False,True,0,0x0000000000000000000000000000000000000000,0,0x0000000000000000000000000000000000000000,1,0,0,True,50.0,True,False,2,1,0x0000000000000000000000000000000000000000,0,,,,,,,,,True,1,1,11,approve,True,True,50000000000000000000,173701,False,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,210,1650795726,True,0x169945cf64ebd10139bf7b85c86bf710947ac9fa,0x79e327f6901713842f82072bcc6eb7bf24e13bcc,1,False,-1,0,,,,,,,,,True,True,True,approve,True,211,"<img src=https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/211.png width=""100"">",1,Common,560.0,74.33048598191326,1.486609719638265
