2022-11-08/01:15:48		Pixel Pirate Scrape Started
2022-11-08/01:20:38		Pixel Pirate Scrape Successful
2022-11-08/01:20:38		Pirate Life Scrape Started
2022-11-08/01:22:29		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
2022-11-08/03:13:00		Pixel Pirate Scrape Started
2022-11-08/03:16:37		Error occurred while scraping Pixel Pirates for Error: HTTPSConnectionPool(host='rpc.ankr.com', port=443): Read timed out. (read timeout=10)
2022-11-08/03:16:37		Pirate Life Scrape Started
2022-11-08/03:18:39		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
2022-11-08/04:21:33		Pixel Pirate Scrape Started
2022-11-08/04:26:41		Pixel Pirate Scrape Successful
2022-11-08/04:26:41		Pirate Life Scrape Started
2022-11-08/04:28:35		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
2022-11-08/05:04:10		Pixel Pirate Scrape Started
2022-11-08/05:07:36		Pixel Pirate Scrape Successful
2022-11-08/05:07:36		Pirate Life Scrape Started
2022-11-08/05:08:56		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
2022-11-08/05:43:43		Pixel Pirate Scrape Started
2022-11-08/05:47:52		Pixel Pirate Scrape Successful
2022-11-08/05:47:52		Pirate Life Scrape Started
2022-11-08/05:49:31		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
2022-11-08/06:19:26		Pixel Pirate Scrape Started
2022-11-08/06:23:20		Pixel Pirate Scrape Successful
2022-11-08/06:23:20		Pirate Life Scrape Started
2022-11-08/06:24:53		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
2022-11-08/06:48:51		Pixel Pirate Scrape Started
2022-11-08/06:52:07		Pixel Pirate Scrape Successful
2022-11-08/06:52:07		Pirate Life Scrape Started
2022-11-08/06:53:25		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
2022-11-08/07:14:11		Pixel Pirate Scrape Started
2022-11-08/07:18:06		Pixel Pirate Scrape Successful
2022-11-08/07:18:06		Pirate Life Scrape Started
2022-11-08/07:19:38		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
2022-11-08/07:37:51		Pixel Pirate Scrape Started
2022-11-08/07:41:58		Pixel Pirate Scrape Successful
2022-11-08/07:41:58		Pirate Life Scrape Started
2022-11-08/07:43:35		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
2022-11-08/08:22:43		Pixel Pirate Scrape Started
2022-11-08/08:26:49		Pixel Pirate Scrape Successful
2022-11-08/08:26:49		Pirate Life Scrape Started
2022-11-08/08:28:24		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
2022-11-08/08:48:13		Pixel Pirate Scrape Started
2022-11-08/08:51:30		Pixel Pirate Scrape Successful
2022-11-08/08:51:30		Pirate Life Scrape Started
2022-11-08/08:52:48		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
2022-11-08/09:15:44		Pixel Pirate Scrape Started
2022-11-08/09:19:51		Pixel Pirate Scrape Successful
2022-11-08/09:19:51		Pirate Life Scrape Started
2022-11-08/09:21:25		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
2022-11-08/09:39:39		Pixel Pirate Scrape Started
2022-11-08/09:43:50		Pixel Pirate Scrape Successful
2022-11-08/09:43:50		Pirate Life Scrape Started
2022-11-08/09:45:30		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
2022-11-08/10:16:45		Pixel Pirate Scrape Started
2022-11-08/10:20:45		Pixel Pirate Scrape Successful
2022-11-08/10:20:45		Pirate Life Scrape Started
2022-11-08/10:22:12		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
2022-11-08/10:45:45		Pixel Pirate Scrape Started
2022-11-08/10:48:57		Pixel Pirate Scrape Successful
2022-11-08/10:48:57		Pirate Life Scrape Started
2022-11-08/10:50:15		Error occurred while scraping Pirate Life for Error: execution reverted: ERC721: owner query for nonexistent token
