2022-11-27/16:09:57		Pixel Pirate Traits Scrape Started
2022-11-27/16:12:48		Pixel Pirate Traits Scrape Successful
2022-11-27/16:12:48		Pixel Pirates Traits to CSV Started
2022-11-27/16:12:48		Pixel Pirates Traits to CSV Successful
2022-11-27/16:12:48		Pirate Life Traits Scrape Started
2022-11-27/16:15:51		Pirate Life Traits Scrape Successful
2022-11-27/16:15:51		Pirate Life Traits to CSV Started
2022-11-27/16:15:51		Pirate Life Traits to CSV Successful
2022-11-27/16:41:36		Pirate Life Traits Scrape Started
2022-11-27/16:41:57		Error occurred while scraping Traits for Pirate Life for Error: ('Connection aborted.', OSError(107, 'Transport endpoint is not connected'))
2022-11-27/16:41:57		Pirate Life Traits to CSV Started
2022-11-27/16:41:57		Error occurred while writing Pirate Life Traits to CSV Error: name 'nft_df' is not defined
2022-11-27/16:47:37		Pirate Life Traits Scrape Started
2022-11-27/16:50:07		Pirate Life Traits Scrape Successful
2022-11-27/16:50:07		Pirate Life Traits to CSV Started
2022-11-27/16:50:07		Pirate Life Traits to CSV Successful
2022-11-27/17:36:56		Pirate Life Traits Scrape Started
2022-11-27/17:39:50		Pirate Life Traits Scrape Successful
2022-11-27/17:39:50		Pirate Life Traits to CSV Started
2022-11-27/17:39:50		Pirate Life Traits to CSV Successful
2022-11-27/18:18:20		Pirate Life Traits Scrape Started
2022-11-27/18:20:25		Pirate Life Traits Scrape Successful
2022-11-27/18:20:25		Pirate Life Traits to CSV Started
2022-11-27/18:20:25		Pirate Life Traits to CSV Successful
2022-11-27/18:40:55		Pirate Life Traits Scrape Started
2022-11-27/18:43:27		Pirate Life Traits Scrape Successful
2022-11-27/18:43:27		Pirate Life Traits to CSV Started
2022-11-27/18:43:27		Pirate Life Traits to CSV Successful
